"Age (in completed years)","Gender","Marital status","Place of current residence","Highest educational qualification completed before first migration","Field of study before migration (if applicable)","Did you obtain any formal educational qualification obtained abroad?","If yes, level of qualification obtained abroad","Country where qualification was obtained","Did you obtain any certification or skill development course abroad","If yes, what is the qualification","Did you pursue any further education or certification after returning","If yes, type of education","If yes, type of education/Degree program","If yes, type of education/Professional certification","If yes, type of education/Skill development course","Field/area of the education","Have you ever lived abroad for at least 6 months","If yes, Primary reason for going abroad","Country/countries of stay abroad","Total duration of stay abroad (in years)","Years of return to India","What is your age at return to India (in years)","Main reason for returning India","Did you work while abroad","Total years of work experience abroad","Type of work performed abroad","I acquired job-relevant technical skills during my stay abroad","I improved my digital and technology-related skills abroad","My communication and language skills improved due to foreign exposure","I developed adaptability and problem-solving skills while abroad","I received formal training or certification abroad useful in India","My foreign-acquired skills are transferable to the Indian labour market","Are you currently employed?","Time taken to find first job after return(months)","How did you find your first job after returning to India","How did you find your first job after returning to India/Family or friends","How did you find your first job after returning to India/Former foreign employer / contacts","How did you find your first job after returning to India/Online job portals","How did you find your first job after returning to India/Recruitment agencies","How did you find your first job after returning to India/Government employment office","How did you find your first job after returning to India/Self-employed / started own business","How did you find your first job after returning to India/Still unemployed","What is your current occupation?","Is your current job formal or informal","Did you switch to another job from the first job you entered after returning","If yes, what is your first job","If yes, Compared to your first job after return, your previous job is","Are you currently running a business","If yes, field of business","What was the main source of funds for starting this business?","What was the main source of funds for starting this business?/Personal savings earned abroad","What was the main source of funds for starting this business?/Family or Friends","What was the main source of funds for starting this business?/Bank loan/ Microfinance/ NBFC","What was the main source of funds for starting this business?/Govt schemes/ subsidy","What was the main source of funds for starting this business?/Other","How long have you been in your current Job","Does your business currently employ any paid worker?","If yes, how many paid worker you have","Are the workers employed by your business mostly","Do you have franchisee in abroad","Current monthly income","Are you aware there are government programs which helps the return migrants","Did you register with any employment exchange or government job portal after returning","Have you received any government support after returning? (Multiple responses allowed)","Have you received any government support after returning? (Multiple responses allowed) / Skill training","Have you received any government support after returning? (Multiple responses allowed) /Employment assistance","Have you received any government support after returning? (Multiple responses allowed) /Financial support","Have you received any government support after returning? (Multiple responses allowed) /None","Government programs helped me integrate into the labour market","To what extent are you able to use your foreign-acquired skills in your current job","My current job matches my skill level","My current job provides stable and secure employment","My employer values my foreign education or work experience","I see clear opportunities for career growth in my current job","Overall, I feel well integrated into the Indian labour market","What were the main difficulties you faced in finding suitable employment in India","What were the main difficulties you faced in finding suitable employment in India/Non-recognition of foreign qualifications","What were the main difficulties you faced in finding suitable employment in India/ Lack of suitable job opportunities","What were the main difficulties you faced in finding suitable employment in India/ Low wages offered","What were the main difficulties you faced in finding suitable employment in India/Skill mismatch","What were the main difficulties you faced in finding suitable employment in India/ Lack of networks","What were the main difficulties you faced in finding suitable employment in India/ Regional mismatch","What were the main difficulties you faced in finding suitable employment in India/None","Do you have any plan to go back abroad in future"
59,"Male","Married","Semi-urban","Higher secondary",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Dubai",20,2016,50,"Other","Yes",18,"Restaurant and Hospitality",4,3,4,4,4,4,"Yes",12,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Formal","No",NA,NA,"Yes","Resturant","Personal savings earned abroad Bank loan/ Microfinance/ NBFC",1,0,1,0,0,"More than 3 years","Yes","5-10","Both family and non-family hired workers","No",80000,"Yes","No","Financial support",0,0,1,0,"Strongly disagree",5,4,4,4,4,4,"Lack of suitable job opportunities",0,1,0,0,0,0,0,"No"
40,"Male","Married","Urban","Under-graduation",NA,"Yes","Other","Germany","Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Both study and work","UK",10,2023,38,"Better job opportunities in India","Yes",8,"Restaurant and Hospitality",5,3,5,3,3,5,"Yes",3,"Online job portals",0,0,1,0,0,0,0,"Restaurant and Hospitality","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 years",NA,NA,NA,NA,45000,"Yes","No","None",0,0,0,1,"Strongly disagree",5,5,5,5,5,5,"Low wages offered",0,0,1,0,0,0,0,"Not sure"
53,"Male","Married","Semi-urban","Higher secondary",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Saudi Arabia",8,2012,40,"Family or personal reasons","Yes",8,"Construction sector",2,2,4,2,1,4,"Yes",8,"Self-employed / started own business",0,0,0,0,0,1,0,"Contractor","Informal","No",NA,NA,"Yes","Contractor","Personal savings earned abroad Bank loan/ Microfinance/ NBFC",1,0,1,0,0,"More than 3 years","Yes","3-5","Non-family hired workers","No",60000,"Yes","No","None",0,0,0,1,"Strongly disagree",4,4,4,3,4,4,"Lack of suitable job opportunities",0,1,0,0,0,0,0,"No"
40,"Female","Married","Semi-urban","Under-graduation","Nursing","No",NA,NA,"Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Belgium",10,2023,38,"Family or personal reasons","Yes",10,"Nurse",5,5,5,3,5,5,"Yes",3,"Online job portals",0,0,1,0,0,0,0,"Nurse","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"1-3 years",NA,NA,NA,NA,50000,"Yes","No","None",0,0,0,1,"Strongly disagree",4,5,5,5,4,4,"Low wages offered",0,0,1,0,0,0,0,"No"
60,"Male","Married","Semi-urban","Under-graduation",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Dubai",15,2020,55,"Family or personal reasons","Yes",14,"Banking and Finance",4,4,4,4,4,4,"Yes",6,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Informal","No",NA,NA,"Yes","Marketing firm","Personal savings earned abroad Bank loan/ Microfinance/ NBFC Family or Friends",1,1,1,0,0,"More than 3 years","Yes","3-5","Non-family hired workers","No",1e+05,"Yes","No","None",0,0,0,1,"Strongly disagree",4,4,4,5,4,5,"Lack of suitable job opportunities Skill mismatch",0,1,0,1,0,0,0,"No"
69,"Male","Married","Rural","Under-graduation",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",20,2018,60,"End of work contracts","Yes",20,"Manager",3,3,5,4,2,4,"Yes",12,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Informal","No",NA,NA,"Yes","Farm","Family or Friends Personal savings earned abroad",1,1,0,0,0,"More than 3 years","Yes","1-2","Both family and non-family hired workers","No",60000,"Yes","No","Financial support",0,0,1,0,"Strongly disagree",4,4,4,4,4,4,"Regional mismatch",0,0,0,0,0,1,0,"No"
40,"Male","Single","Semi-urban","Higher secondary",NA,"No",NA,NA,"Yes","Mechanical","No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",10,2020,35,"Covid 19 or other external shocks","Yes",9,"Mechanic",4,4,4,3,2,4,"Yes",6,"Recruitment agencies",0,0,0,1,0,0,0,"Technician","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,35000,"Yes","No","None",0,0,0,1,"Strongly disagree",4,4,4,4,3,3,"Low wages offered  Lack of suitable job opportunities",0,1,1,0,0,0,0,"No"
42,"Male","Married","Rural","Higher secondary",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",10,2024,40,"End of work contracts","Yes",10,"Mechanic",4,3,4,2,1,4,"Yes",8,"Recruitment agencies",0,0,0,1,0,0,0,"Technician","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"6-1 year",NA,NA,NA,NA,30000,"Yes","No","None",0,0,0,1,"Strongly disagree",4,4,3,4,4,3,"Low wages offered  Lack of suitable job opportunities",0,1,1,0,0,0,0,"No"
56,"Female","Married","Urban","Under-graduation","Nursing","No",NA,NA,"Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","UK",10,2021,52,"End of work contracts","Yes",9,"Nurse",5,5,5,3,5,5,"Yes",3,"Family or friends",1,0,0,0,0,0,0,"Nurse","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,45000,"Yes","No","Financial support",0,0,1,0,"Strongly disagree",5,5,4,5,4,4,"Low wages offered",0,0,1,0,0,0,0,"No"
29,"Male","Single","Semi-urban","Under-graduation","Bsc","Yes","Post-graduation","UK","Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Higher education","UK",5,2025,28,"Completion of studies","Yes",1,"Analyst",5,5,5,4,5,5,"Yes",4,"Online job portals",0,0,1,0,0,0,0,"Analyst","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"Less than 6 month",NA,NA,NA,NA,65000,"Yes","No","None",0,0,0,1,"Strongly disagree",5,5,5,5,5,5,"Lack of suitable job opportunities",0,1,0,0,0,0,0,"Not sure"
60,"Female","Married","Semi-urban","Under-graduation","Bcom","Yes","Post-graduation","UAE","Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Both study and work","UAE",15,2022,57,"Family or personal reasons","Yes",10,"Banking and Finance",5,5,5,4,5,5,"Yes",12,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Formal","No",NA,NA,"Yes","Textile","Personal savings earned abroad Family or Friends",1,1,0,0,0,"1-3 years","Yes","5-10","Both family and non-family hired workers","No",150000,"Yes","No","None",0,0,0,1,"Strongly disagree",4,3,4,3,4,4,"Regional mismatch  Lack of networks",0,0,0,0,1,1,0,"No"
38,"Male","Married","Semi-urban","Under-graduation",NA,"No",NA,NA,"Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Saudi Arabia",10,2024,37,"Family or personal reasons","Yes",9,"Driver",4,3,4,3,4,5,"Yes",6,"Recruitment agencies",0,0,0,1,0,0,0,"Driver","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"6-1 year",NA,NA,NA,NA,35000,"Yes","No","None",0,0,0,1,"Strongly disagree",5,5,5,5,5,5,"Low wages offered",0,0,1,0,0,0,0,"No"
40,"Male","Married","Semi-urban","Under-graduation",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",8,2023,37,"End of work contracts","Yes",8,"Construction sector",3,2,4,2,1,3,"Yes",12,"Recruitment agencies",0,0,0,1,0,0,0,"Driver","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"6-1 year",NA,NA,NA,NA,25000,"Yes","No","None",0,0,0,1,"Strongly disagree",3,2,3,1,4,3,"Skill mismatch  Low wages offered  Lack of suitable job opportunities",0,1,1,1,0,0,0,"No"
65,"Male","Married","Rural","Higher secondary",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Bahrain",10,2023,61,"End of work contracts","Yes",9,"Industrial employee",2,1,4,1,1,3,"Yes",6,"Family or friends",1,0,0,0,0,0,0,"Security","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"1-3year",NA,NA,NA,NA,25000,"Yes","No","Financial support",0,0,1,0,"Neither agree nor disagree",1,3,3,1,4,3,"Low wages offered  Lack of suitable job opportunities Skill mismatch Non-recognition of foreign qualifications",1,1,1,1,0,0,0,"No"
58,"Male","Married","Rural","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",10,2021,53,"End of work contracts","Yes",10,"Construction sector",3,2,5,2,1,4,"Yes",12,"Self-employed / started own business",0,0,0,0,0,1,0,"Agricultural work","Informal","No",NA,NA,"No","Agriculture","Personal savings earned abroad Bank loan/ Microfinance/ NBFC",1,0,1,0,0,"More than 3 years","Yes","1-2","Family members","No",32000,"Yes","No","Financial support",0,0,1,0,"Neither agree nor disagree",1,3,4,1,4,4,"Low wages offered  Lack of suitable job opportunities",0,1,1,0,0,0,0,"No"
56,"Male","Married","Urban","Under-graduation",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Dubai",10,2025,55,"Other","Yes",9,"Business",5,5,5,4,3,5,"Yes",6,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Formal","No",NA,NA,"Yes","Resturant","Personal savings earned abroad Bank loan/ Microfinance/ NBFC",1,0,1,0,0,"Less than 6 months","Yes","5-10","Non-family hired workers","Yes",2e+05,"Yes","No","None",0,0,0,1,"Strongly disagree",5,5,5,5,5,5,"Regional mismatch",0,0,0,0,0,1,0,"Not sure"
48,"Female","Married","Semi-urban","Under-graduation","Nursing","No",NA,NA,"Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Italy",10,2023,46,"Family or personal reasons","Yes",10,"Nurse",5,4,5,3,5,5,"Yes",3,"Recruitment agencies",0,0,0,1,0,0,0,"Nurse","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"1-3year",NA,NA,NA,NA,40000,"Yes","No","None",0,0,0,1,"Strongly disagree",5,4,4,5,4,5,"Low wages offered",0,0,1,0,0,0,0,"No"
29,"Female","Single","Semi-urban","Under-graduation","Development studies","Yes","Post-graduation","UK","No",NA,"No",NA,NA,NA,NA,NA,"Yes","Both study and work","UK",6,2025,28,"Better job opportunities in India","Yes",3,"Research analyst",5,5,5,4,4,5,"Yes",3,"Online job portals",0,0,1,0,0,0,0,"Research analyst","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"Less than 6 month",NA,NA,NA,NA,60000,"Yes","No","None",0,0,0,1,"Strongly disagree",5,5,5,5,4,4,"Low wages offered",0,0,1,0,0,0,0,"Yes"
38,"Male","Married","Semi-urban","Under-graduation","Social working","Yes","Post-graduation","France","Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Family reasons","France",8,2023,35,"Family or personal reasons","Yes",6,"Social work",4,4,5,5,4,5,"Yes",6,"Online job portals",0,0,1,0,0,0,0,"Social work","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"1-3year",NA,NA,NA,NA,45000,"Yes","No","None",0,0,0,1,"Disagree",5,5,5,5,5,5,"Low wages offered  Regional mismatch",0,0,1,0,0,1,0,"Not sure"
32,"Female","Single","Urban","Post-graduation",NA,"Yes","Other","Australia","Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Both study and work","Australia",7,2025,31,"Completion of studies","Yes",3,"Research assistant",4,5,5,4,4,5,"Yes",3,"Online job portals",0,0,1,0,0,0,0,"Teaching profession","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"Less than 6 month",NA,NA,NA,NA,65000,"Yes","No","None",0,0,0,1,"Strongly disagree",5,5,5,5,5,4,"Low wages offered",0,0,1,0,0,0,0,"Not sure"
64,"Male","Married","Urban","Under-graduation",NA,"No",NA,NA,"Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Saudi Arabia",15,2022,61,"End of work contracts","Yes",13,"Manager",4,4,5,3,3,4,"Yes",2,"Recruitment agencies",0,0,0,1,0,0,0,"Manager","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"1-3year",NA,NA,NA,NA,55000,"Yes","No","None",0,0,0,1,"Disagree",4,4,4,4,4,4,"Low wages offered",0,0,1,0,0,0,0,"No"
58,"Male","Married","Rural","Higher secondary",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Saudi Arabia",12,2021,53,"Covid 19 or other external shocks","Yes",12,"Domestic work",3,3,4,3,1,3,"Yes",6,"Self-employed / started own business",0,0,0,0,0,1,0,"Driver","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,30000,"Yes","No","None",0,0,0,1,"Strongly disagree",2,2,4,1,3,3,"Lack of suitable job opportunities Non-recognition of foreign qualifications    Low wages offered Skill mismatch",1,1,1,1,0,0,0,"No"
67,"Male","Married","Rural","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Saudi Arabia",18,2020,64,"End of work contracts","Yes",17,"Construction sector",2,3,4,2,1,3,"Yes",12,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Informal","No",NA,NA,"Yes","Agriculture farm","Personal savings earned abroad Bank loan/ Microfinance/ NBFC",1,0,1,0,0,"More than 3 years","Yes","1-2","Family members","No",45000,"Yes","No","Financial support",0,0,1,0,"Disagree",2,2,3,2,4,3,"Skill mismatch  Lack of suitable job opportunities",0,1,0,1,0,0,0,"No"
56,"Male","Single","Semi-urban","Under-graduation",NA,"No",NA,NA,"Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Kuwait",15,2022,52,"End of work contracts","Yes",13,"Driver",4,3,4,3,4,4,"Yes",6,"Recruitment agencies",0,0,0,1,0,0,0,"Driver","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,35000,"Yes","No","None",0,0,0,1,"Strongly disagree",4,4,4,4,4,4,"Low wages offered",0,0,1,0,0,0,0,"No"
55,"Male","Married","Rural","Under-graduation",NA,"No",NA,NA,"Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Dubai",10,2020,50,"Covid 19 or other external shocks","Yes",9,"Driver",4,3,4,3,3,4,"Yes",6,"Family or friends",1,0,0,0,0,0,0,"Restaurant and Hospitality","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,25000,"Yes","No","None",0,0,0,1,"Strongly disagree",3,2,4,1,3,3,"Low wages offered Skill mismatch Non-recognition of foreign qualifications",1,0,1,1,0,0,0,"No"
60,"Male","Married","Semi-urban","Higher secondary",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",12,2020,55,"Covid 19 or other external shocks","Yes",11,"Industrial employee",3,3,4,3,1,4,"Yes",6,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Informal","No",NA,NA,"Yes","Poultry farm","Bank loan/ Microfinance/ NBFC",0,0,1,0,0,"More than 3 year","Yes","1-2","Both family and non-family hired workers","No",50000,"Yes","No","None",0,0,0,1,"Disagree",1,3,4,2,4,4,"Skill mismatch",0,0,0,1,0,0,0,"No"
38,"Male","Married","Semi-urban","Under-graduation",NA,"No",NA,NA,"Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Qatar",8,2023,35,"Family or personal reasons","Yes",5,"Driver",4,4,5,2,3,4,"Yes",3,"Family or friends",1,0,0,0,0,0,0,"Driver","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,32000,"Yes","No","None",0,0,0,1,"Strongly disagree",5,5,4,5,4,4,"Low wages offered",0,0,1,0,0,0,0,"Not sure"
28,"Male","Single","Semi-urban","Under-graduation",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Dubai",3,2025,27,"Family or personal reasons","Yes",3,"Restaurant and Hospitality",3,1,4,3,1,4,"Yes",6,"Family or friends",1,0,0,0,0,0,0,"Domestic work","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"6-1 year",NA,NA,NA,NA,25000,"No","No","None",0,0,0,1,"Strongly disagree",4,4,2,2,3,2,"Skill mismatch  Low wages offered  Lack of suitable job opportunities",0,1,1,1,0,0,0,"Not sure"
44,"Male","Married","Rural","Other","Diploma","No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Dubai",8,2020,38,"Covid 19 or other external shocks","Yes",7,"Industrial employee",4,3,4,3,1,4,"Yes",6,"Family or friends",1,0,0,0,0,0,0,"Technician","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,35000,"Yes","No","None",0,0,0,1,"Strongly disagree",4,4,3,4,4,3,"Low wages offered",0,0,1,0,0,0,0,"No"
54,"Male","Married","Semi-urban","Post-graduation",NA,"No",NA,NA,"Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Dubai",15,2021,50,"Better job opportunities in India","Yes",14,"Teaching profession",4,4,4,5,4,4,"Yes",12,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Formal","No",NA,NA,"Yes","Exporting","Personal savings earned abroad Bank loan/ Microfinance/ NBFC",1,0,1,0,0,"More than 3 years","Yes","1-2","Non-family hired workers","No",90000,"Yes","No","None",0,0,0,1,"Strongly disagree",4,3,4,3,4,4,"Low wages offered Skill mismatch",0,0,1,1,0,0,0,"No"
39,"Female","Married","Semi-urban","Post-graduation",NA,"No",NA,NA,"Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Dubai",8,2024,37,"Better job opportunities in India","Yes",6,"Teaching profession",5,5,5,5,5,5,"Yes",6,"Online job portals",0,0,1,0,0,0,0,"Teaching profession","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"1-3year",NA,NA,NA,NA,50000,"Yes","No","None",0,0,0,1,"Disagree",5,5,4,5,4,4,"Low wages offered",0,0,1,0,0,0,0,"No"
50,"Male","Married","Semi-urban","Higher secondary",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Qatar",9,2020,44,"Covid 19 or other external shocks","Yes",7,"Domestic work",2,1,4,2,1,2,"Yes",12,"Recruitment agencies",0,0,0,1,0,0,0,"Driver","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,25000,"Yes","No","None",0,0,0,1,"Strongly disagree",2,3,3,1,3,3,"Low wages offered Skill mismatch",0,0,1,1,0,0,0,"No"
52,"Male","Married","Semi-urban","Under-graduation",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Kuwait",10,2020,45,"Covid 19 or other external shocks","Yes",10,"Manager",4,4,4,3,2,4,"Yes",6,"Self-employed / started own business",0,0,0,0,0,1,0,"Surveyor","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"1-3 years",NA,NA,NA,NA,90000,"Yes","No","None",0,0,0,1,"Disagree",3,3,4,3,5,5,"Skill mismatch",0,0,0,1,0,0,0,"No"
52,"Male","Married","Semi-urban","Under-graduation",NA,"Yes","Under-graduation","UK","Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Both study and work","UK",10,2022,46,"Better job opportunities in India","Yes",8,"Restaurant and Hospitality",4,4,5,4,5,5,"Yes",3,"Online job portals",0,0,1,0,0,0,0,"Restaurant and Hospitality","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,55000,"Yes","No","None",0,0,0,1,"Strongly disagree",5,5,5,5,5,5,"Low wages offered",0,0,1,0,0,0,0,"No"
55,"Male","Married","Semi-urban","Under-graduation",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Dubai",12,2021,50,"End of work contracts","Yes",11,"Restaurant and Hospitality",4,3,4,3,3,4,"Yes",10,"Online job portals",0,0,1,0,0,0,0,"Restaurant and Hospitality","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,50000,"Yes","No","None",0,0,0,1,"Strongly disagree",4,5,3,5,4,4,"Low wages offered",0,0,1,0,0,0,0,"No"
56,"Male","Married","Urban","Post-graduation","BDS","No",NA,NA,"Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Saudi Arabia",12,2023,53,"Better job opportunities in India","Yes",12,"Doctor",5,5,5,5,5,5,"Yes",1,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Formal","No",NA,NA,"Yes","Dental clinic","Personal savings earned abroad Family or Friends",1,1,0,0,0,"More than 3 year","Yes","3-5","Both family and non-family hired workers","Yes",1e+05,"Yes","No","None",0,0,0,1,"Strongly disagree",5,5,4,4,4,4,"Low wages offered",0,0,1,0,0,0,0,"Yes"
63,"Male","Married","Semi-urban","Under-graduation",NA,"No",NA,NA,"Yes","Fire and rescue","No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",23,2022,60,"End of work contracts","Yes",23,"Govt service",4,4,5,5,5,4,"Yes",6,"Recruitment agencies",0,0,0,1,0,0,0,"Security","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"1-3year",NA,NA,NA,NA,25000,"Yes","No","None",0,0,0,1,"Strongly disagree",4,2,3,4,4,4,"Skill mismatch  Low wages offered",0,0,1,1,0,0,0,"No"
54,"Male","Married","Rural","Higher secondary",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",5,2018,49,"Family or personal reasons","Yes",5,"Construction sector",3,2,4,1,1,3,"Yes",3,"Family or friends",1,0,0,0,0,0,0,"Agricultural work","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,30000,"Yes","No","None",0,0,0,1,"Strongly disagree",2,3,3,1,3,3,"Low wages offered  Lack of suitable job opportunities Skill mismatch",0,1,1,1,0,0,0,"No"
45,"Female","Married","Urban","Post-graduation","Law","No",NA,NA,"Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","South Africa",8,2021,41,"Family or personal reasons","Yes",8,"Teaching profession",5,4,5,4,5,5,"Yes",3,"Online job portals",0,0,1,0,0,0,0,"Teaching profession","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,80000,"Yes","No","None",0,0,0,1,"Strongly disagree",5,5,5,5,5,5,"Regional mismatch",0,0,0,0,0,1,0,"Not sure"
50,"Male","Married","Semi-urban","Under-graduation","BA","No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Dubai",10,2020,44,"Covid 19 or other external shocks","Yes",10,"Sales executive",4,4,4,3,1,4,"Yes",12,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Formal","No",NA,NA,"Yes","Event management","Bank loan/ Microfinance/ NBFC Personal savings earned abroad",1,0,1,0,0,"More than 3 years","Yes","more than 10","Both family and non-family hired workers","No",150000,"Yes","No","None",0,0,0,1,"Strongly disagree",4,4,4,4,4,5,"Lack of suitable job opportunities  Regional mismatch  Lack of networks",0,1,0,0,1,1,0,"No"
29,"Male","Single","Semi-urban","Higher secondary",NA,"Yes","Under-graduation","China","Yes",NA,"Yes","Professional certification",0,1,0,NA,"Yes","Higher education","China",8,2025,27,"Completion of studies","Yes",2,"Doctor",4,4,4,4,5,5,"Yes",6,"Government employment office",0,0,0,0,1,0,0,"Doctor","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"1-3year",NA,NA,NA,NA,45000,"Yes","Yes","Employment assistance",0,1,0,0,"Strongly disagree",5,5,5,3,4,4,"Lack of networks",0,0,0,0,1,0,0,"Not sure"
29,"Male","Single","Semi-urban","Under-graduation","Btech","No",NA,NA,"No",NA,"Yes","Professional certification",0,1,0,NA,"Yes","Employment","Saudi Arabia",3,2021,24,"Other","Yes",3,"Engineer",4,4,5,5,3,4,"Yes",24,"Recruitment agencies",0,0,0,1,0,0,0,"Manager","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"1-3year",NA,NA,NA,NA,70000,"No","No","None",0,0,0,1,"Strongly disagree",4,4,4,4,4,4,"Low wages offered",0,0,1,0,0,0,0,"Not sure"
